Profit Center,Valid To,Controlling Area,Valid From,Entered On,Created By,Field name of CO-PA characteristic,Department,Person Responsible for Profit Center,User Responsible,Currency,Successor profit center,Country/Region Key,Title,Name 1,Name 2,Name 3,Name 4,City,District,Street,PO Box,Postal Code,P.O. Box Postal Code,Language Key,Telebox number,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,Data line,Printer name,Hierarchy Area,Company Code,Joint venture,Recovery Indicator,Equity type,Tax Jurisdiction,Region,Usage,Application,Procedure,Logical System,Lock indicator,PrCtr Formula Planning Template,Segment,Dummy function in length 1,Name,Long Text,Profit center short text for matchcode
149A,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,IAL,IAL,IAL
149T,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB(HC)-CONS,PLB(HC)-CONS,PLB(HC)-CONS
14AA,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLANT & PJT 1,PLANT & PROJECT 1,PLANT & PJT 1
14AD,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,GENERAL ADMINISTRATI,GENERAL ADMINISTRATI,GENERAL ADMINISTRATI
14AM,9999-12-31 00:00:00,GBV3,2024-01-01 00:00:00,2024-11-13 00:00:00,ALCHAN,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,POWER & UTILITY,POWER & UTILITY,POWER & UTILITY
14BB,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,TYRE & MOBILITY,TYRE & MOBILITY,TYRE & MOBILITY
14BZ,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MARINE,MARINE,MARINE
14CF,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2023-06-14 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CFP,CFP,CFP
14CL,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2025-08-27 00:00:00,ALCHAN,,,GB14,,,,,,14CL,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CAR LIFE,CAR LIFE,CAR LIFE
14CM,9999-12-31 00:00:00,GBV3,2025-01-01 00:00:00,2026-03-27 00:00:00,TNLE,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CARMONEY,CARMONEY,CARMONEY
14CS,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,SOLAR POWER ASSETS,SOLAR POWER ASSETS,SOLAR POWER ASSETS
14CT,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,PLB(HC),PLB(HC),PLB(HC)
14EG,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,SUGAR,SUGAR,SUGAR
14EH,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,COFFEE,COFFEE,COFFEE
14EM,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,MARINE PRODUCTS,MARINE PRODUCTS,MARINE PRODUCTS
14EW,9999-12-31 00:00:00,GBV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,GB14,,,,,,,,,,,,,,,,EN,,,,,,,,,GB14,,,,,,,,,,,,,,,CONFECTIONARY,CONFECTIONARY,CONFECTIONARY
