Valuation area,Company Code,Valuation Grpg Code,Neg. stocks allowed,Mat. Ledger Active,ML Active(Compulsory),SalesPrice valuation,Explanation Facility,Revaluat. profile,Val.-based IM profile,Material Price Determination: Control,Price Determ. Is Binding in Val. Area,Stock correction toler.,PrDiff. GR SC,Post with recpt val.,Two FI documents,Price Release,ActCstCmpSplt Active,Delivery costs to price diff. acct,From fiscal year,Price Release FMP,Price Release Group
0001,0001,0001,,X,X,,,,,2,X,0.0,,X,X,,false,X,,,
0003,0003,0001,,X,X,,,,,2,,0.0,,X,X,,false,,,,
149A,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
149T,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14AA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14AD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14AM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14BB,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14BZ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14CF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14CL,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14CM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14CS,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14CT,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14EG,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14EH,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14EM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14EW,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14FA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14FI,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14FO,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14FR,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14FS,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GK,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GN,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GT,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14GV,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14HF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14HP,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14HQ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14HR,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14HY,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14IF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14JI,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14KA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14KD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14KK,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14KR,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14KV,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14LD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14LK,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14LW,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14LZ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14MD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14ME,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14MO,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14MP,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14MT,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14NR,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14OM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14PA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14PB,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14PC,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14PJ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14PN,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14RD,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14RE,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14RM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14RS,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14RT,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14SJ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14SM,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14SN,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14SO,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14SR,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14ST,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14TL,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14UA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14UF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14UY,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14UZ,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14VI,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14VK,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14WA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14WE,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14X1,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14X2,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14X3,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14X4,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14XA,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14XB,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14XC,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
14XF,GB14,0001,,X,X,,,,,2,,0.0,X,X,,,false,X,,,
