Company Code,Business Area,Controlling Area
0001,,0001
0003,,0003
0MB1,,0MB1
AE01,,AE01
BE01,,BE01
CA01,,CA01
CA51,,USV3
CAJC,,USV3
CH01,,CH01
CN01,,CN01
CO01,,CO01
CZ01,,CZ01
DE01,,DE01
DE02,,DE02
DE20,,DEV3
ES01,,ES01
FI01,,FI01
FR01,,FR01
FR16,,FRV3
GB14,,GBV3
HU01,,HU01
IN01,,IN01
IT24,,ITV3
JP01,,JP01
KR01,,KR01
KZ01,,KZ01
MCA1,,MCA
MCA2,,MCA
MCA3,,MCA
MCA4,,MCA
MX52,,USK4
MXJB,,USK4
NO01,,NO01
PE01,,PE01
PL01,,PL01
PT01,,PT01
RECO,,RECO
REOB,,REOB
RERF,,RERF
RU01,,RU01
SE01,,SE01
SG01,,SG01
SK01,,SK01
TR01,,TR01
TW01,,TW01
UA01,,UA01
US01,,US01
US50,,USV3
USIA,,USV3
USIB,,USV3
USIC,,USV3
USID,,USV3
USJA,,USV3
USJD,,USV3
ZA33,,ZAV3
