code,name,companyCode_code,controllingArea
149A,IAL,GB14,GBV3
149T,PLB(HC)-CONS,GB14,GBV3
14AA,PLANT & PJT 1,GB14,GBV3
14AD,GENERAL ADMINISTRATI,GB14,GBV3
14AM,POWER & UTILITY,GB14,GBV3
14BB,TYRE & MOBILITY,GB14,GBV3
14BZ,MARINE,GB14,GBV3
14CF,CFP,GB14,GBV3
14CL,CAR LIFE,GB14,GBV3
14CM,CARMONEY,GB14,GBV3
14CS,SOLAR POWER ASSETS,GB14,GBV3
14CT,PLB(HC),GB14,GBV3
14EG,SUGAR,GB14,GBV3
14EH,COFFEE,GB14,GBV3
14EM,MARINE PRODUCTS,GB14,GBV3
14EW,CONFECTIONARY,GB14,GBV3
14FA,GRAIN & FEED,GB14,GBV3
14FI,FIN.BUSINESS,GB14,GBV3
14FO,COCOA,GB14,GBV3
14FR,FIRST RESPONSE,GB14,GBV3
14FS,DAIRY PRODUCTS,GB14,GBV3
14GA,GENERAL AFFAIRS,GB14,GBV3
14GD,G.DIRECTOR,GB14,GBV3
14GF,FUND CONTROL,GB14,GBV3
14GK,AUDIT,GB14,GBV3
14GN,ACCOUNTS,GB14,GBV3
14GT,FINANCE,GB14,GBV3
14GV,INFORMATION SYSTEM,GB14,GBV3
14HF,FOOD DISTRIBUTION,GB14,GBV3
14HP,PLASTICS,GB14,GBV3
14HQ,AGRI PRODUCTS,GB14,GBV3
14HR,HR,GB14,GBV3
14HY,ENERGY-OLD,GB14,GBV3
14IF,ITOCHU FIBRE LIMITED,GB14,GBV3
14JI,Javelin Investment,GB14,GBV3
14KA,AEROSPACE&DEFENSE,GB14,GBV3
14KD,KILLICK AEROSPACE,GB14,GBV3
14KK,IronOre&StealResouce,GB14,GBV3
14KR,PLATINUMGROUP METALS,GB14,GBV3
14KV,ICT,GB14,GBV3
14LD,CERAMIC MATERIAL,GB14,GBV3
14LK,IND.TEXT.(TEAM),GB14,GBV3
14LW,CARBON NEUTRAL,GB14,GBV3
14LZ,BRAMHOPE,GB14,GBV3
14MD,POWER PROJECT,GB14,GBV3
14ME,SUGAR MIDDLE OFFICE,GB14,GBV3
